LONGITUDE VZ	LATITUDE VZ	GLOBALID	REQUESTTYPE	REQUESTDATE	STREETSEGID	COMMENTS	USERTYPE
-77.03196892	38.89689113	{03F7F8F7-7435-406C-BB67-83D4C0995D72}	Not enough time to cross	2015-10-14T10:29:34.000Z	6338		Biker
-76.99845242	38.88714272	{01D98EE4-BEFE-4DBF-8FF8-8785C5881D35}	Other Biking Issue	2015-10-14T12:09:46.000Z	9924	bike lane between North Carolina and Independence needs to be re-paved. Waterline work at every house resulted in one-off repairs that now make for an offroad-like ride.	Biker
-76.9915349	38.88163706	{2F8029F6-02B3-489B-8A7F-2B2B1CE67B01}	Other Biking Issue	2015-10-14T12:13:30.000Z	8478	"painting bike lane green between Penn Ave and O St will improve awareness and safety for everyone, especially during rush hour."	Biker
-76.97939516	38.88284315	{4674C04C-33D4-40AD-BD97-A870E90D7EFF}	Failure to stop for pedestrians	2015-10-14T17:46:25.000Z	11954	Cars don't stop at this crosswalk. Its really dangerous to try to cross when going to the cemetery.	Pedestrian
-76.97900049	38.8830292	{623EF147-DCA7-43CD-AF5B-AECB0A8E1BF1}	Failure to stop for pedestrians	2015-10-14T17:47:41.000Z	1114	Cars don't stop for pedestrians in crosswalk.	Pedestrian
-76.98003342	38.88256086	{EBB564C4-1253-4DCF-91C1-FD59CD382B10}	Speeding	2015-10-14T17:48:41.000Z	3552	Dangerous conditions.	Pedestrian
-77.00204567	38.8925536	{53A21F6E-4DFA-4A59-87A5-F1BAA64640C4}	Failure to stop for pedestrians	2015-10-14T17:55:32.000Z	3806	Very hard to cross the crosswalks because of cars.	Pedestrian
-76.98076283	38.88230727	{74F1F31F-B63A-49A8-8C76-E618EE69E1F3}	Failure to stop for pedestrians	2015-10-14T17:47:08.000Z	687	Cars turning at the light don't yield to pedestrians.	Pedestrian
-76.99951292	38.90084044	{847FE236-97C5-4438-BFCA-60504F4432AA}	Speeding	2015-10-14T19:58:43.000Z	8423		Biker
-77.00057814	38.9023141	{FC30167D-3E79-47FB-A49F-E1CD00435BD1}	Speeding	2015-10-14T19:59:08.000Z	4492		Pedestrian
-77.00204072	38.90134146	{E0BE082B-D0D3-4517-A5F7-56A1DEA68439}	Failure to stop for pedestrians	2015-10-14T20:00:55.000Z	12561	"Its hard to get across these crosswalks, cars roll through stops."	Pedestrian
-77.0426208	38.89598974	{1AD67141-22E7-4161-B701-62151B13C46F}	Other Biking Issue	2015-10-15T13:39:53.000Z	8401	"HEY DDOT, THERE ARE 6 LANES IN EACH DIRECTION HERE. HOW ABOUT SOME BIKE FACILITIES."	Biker
-76.99153042	38.88760132	{7ACA5F0A-1A93-42BC-950F-A4105FCDC658}	Other Walking Issue	2015-10-15T17:34:08.000Z	11014	Pedestrian Walk sign is turned on the southwest corner so pedestrians cannot see when it is safe to cross	Pedestrian
-76.97791916	38.90855052	{7B6622BB-55EE-472E-86BE-B3068B213976}	Speeding	2015-10-16T15:51:34.000Z	791	Biking on the road here is like biking on the interstate. 30 mph speed limit is a joke.	Biker
-76.9790535	38.90658044	{36A7E89D-E514-4E4A-99C8-177A6F85B106}	Long distance to cross	2015-10-16T15:56:03.000Z	9792		Pedestrian
-76.97907125	38.90666407	{3D57D0E6-0680-468D-8CD7-D236BC4847C7}	Not enough time to cross	2015-10-16T15:56:27.000Z	9792		Biker
-76.97648513	38.89330772	{86C01662-A526-49CA-B38F-7C4E07C3859F}	Speeding	2015-10-16T15:57:50.000Z	10725	"This is a school zone, yet commuters drive way too fast."	Biker
-76.99696328	38.95262826	{D0467E4C-4AE1-4242-B575-C7CEF48FA992}	Red light running	2015-10-16T16:29:01.000Z	1449	"There is a left-turn signal from South Dakota onto Galloway, and everyone from buses to school and clinic shuttles to ordinary cars run through the light after the left-turn signal goes away. This makes it very dangerous for pedestrians."	Pedestrian
-76.98020456	38.90501165	{2C57AEB3-148B-4C4C-828A-29B70EB8B6E4}	Other Walking Issue	2015-10-16T15:55:38.000Z	2153	There needs to be a crosswalk at this intersection. See school kids crossing here to get to bus stop. Very dangerous.	Pedestrian
-76.99497471	38.88374593	{F9204408-664B-4136-9D6D-29F2437F5BDA}	Speeding	2015-10-17T23:39:39.000Z	10452	Cars speed through this intersection trying to catch the light at Penn Ave. Pedestrians are always at risk here	Pedestrian
-76.97793195	38.91698922	{3C0FAF79-0920-41E5-A475-F5C309C8AB60}	Red light running	2015-10-18T12:25:33.000Z	11567	Cars and buses northbound from W Virgina Ave run the red light and block the intersection for Montana Ave to enter the circle.	Car Driver
-77.00468948	38.95576772	{AEC87758-9524-4162-BB9B-191CE88F8769}	Other Walking Issue	2015-10-18T23:58:40.000Z	7700	"The pedhead does not provide adequate time for pedestrians to cross Riggs Rd. NE from 1st St. NE, thus making it dangerous for pedestrians."	Pedestrian
-77.00768195	38.95873438	{F61C284C-4F0E-4821-8B31-C0321645860A}	Failure to stop for pedestrians	2015-10-19T00:02:27.000Z	10444	"There are no signs in the road warning drivers to stop for pedestrians, which makes it dangerous for pedestrians, including me, to cross, especially during rush hours."	Pedestrian
-76.97893514	38.93410674	{A636F212-B3C4-4012-A494-1D07C178AA8B}	Other Driving Issue	2015-10-18T12:32:09.000Z	7763	Speed bumps are way too high on this stretch of Newton St.  Forces drivers to slow to 5 mph to go over without damaging car. Even at 15 mph (posted school speed limit) drivers risk destroying their shocks.	Car Driver
-77.02802238	38.9611536	{F01CEB94-DBBD-4CC7-882E-1009FC0ABAF5}	Other Driving Issue	2015-10-19T00:10:40.000Z	10603	This intersection has a strange zig-zag alignment to stay on MO Ave. NW while crossing GA Ave. NW.  It can be confusing for drivers not familiar and pedestrians crossing.	Car Driver
-76.99435866	38.95076109	{9DBDB93C-FEDE-44CB-B4E9-75AD17811F95}	Failure to stop for pedestrians	2015-10-19T18:50:30.000Z	444	There is a bus stop at this corner that is hard to get to because drivers are not expecting pedestrians here in the crosswalk. We need those signs that mention a $250 fine for not stopping.	Pedestrian
-77.03195577	38.9105504	{ECB85C02-3872-41AF-9F52-EAAD6DC3527E}	Double parking	2015-10-20T12:44:50.000Z	5252	Bike lane is useless here. Insanely dangerous after dark Thurs-Sun.	Biker
-77.02962196	38.91977071	{4825ED47-5C78-4DD9-9E25-3C93C0B75F50}	Double parking	2015-10-20T18:34:39.000Z	6170		Car Driver
-77.02962454	38.91860977	{33F41C0F-33A7-400F-A486-C596995D8B6F}	Double parking	2015-10-20T18:35:02.000Z	2121		Car Driver
-77.07967841	38.94792484	{B2973D4A-CE6C-462A-B562-6825BEEC198E}	Jaywalking	2015-10-20T18:38:24.000Z	9764		Car Driver
-77.0787487	38.94942173	{5AA09886-13D4-4C2C-A985-FAC8096FA38E}	Jaywalking	2015-10-20T18:39:20.000Z	4804		Car Driver
-77.00582782	38.91558015	{8C41D015-F4AD-4370-9A72-22B25CB4C578}	Double parking	2015-10-20T18:49:45.000Z	9998		Car Driver
-77.00539652	38.91557141	{B0C51F31-EE57-4421-9F13-54E7EBD60210}	Double parking	2015-10-20T18:54:48.000Z	9998		Car Driver
-77.00588831	38.90881812	{86BC5233-C83B-43E3-B86D-165EB444A35E}	Other Driving Issue	2015-10-20T19:02:50.000Z	12959	Drivers don't obey the posted signs indicating which direction vehicles are to travel. Drivers make left turns onto New York Ave from the Florida Ave lanes	Car Driver
-77.00471385	38.9627055	{7D1567B6-529D-4BC5-819B-767DD66E030D}	Stop sign running	2015-10-20T19:22:10.000Z	7239		Car Driver
-77.00276618	38.96270214	{9DE4E460-8F1C-41AF-9990-406107683999}	Stop sign running	2015-10-20T19:22:43.000Z	7280		Car Driver
-77.00491118	38.96243997	{0D4CB3E8-73EF-4614-B6A3-B4CA1F10FCAD}	Blocking the crosswalk	2015-10-20T19:23:52.000Z	7239	Cars block the intersection	Car Driver
-77.00735013	38.95431972	{E7027BF1-D365-4A1C-B46C-BA98DCEDFF1B}	Other Driving Issue	2015-10-20T19:33:26.000Z	10602	Maryland drivers cut thur the side streets to this street using this street to avoid traffic congestion on North Capital St. causing traffic backups.	Car Driver
-77.07703328	38.94317781	{D39EA958-795E-4FFF-98A8-4B41B5322633}	Jaywalking	2015-10-20T18:37:57.000Z	393		Car Driver
-77.02971245	38.92865046	{7BF75B75-1320-4F19-AD7C-DCFB1918F707}	Jaywalking	2015-10-20T18:43:50.000Z	8886	Crossing guard is at this location however he allows people to walk when cars have the green light.	Car Driver
-77.00451901	38.91557987	{DB8D5F45-0145-4478-AD59-4C3CFFC80600}	Other Driving Issue	2015-10-20T18:54:22.000Z	3294	Cars travel the wrong way on the one way street durring morning and evening rush hour causing serious traffic issues.	Car Driver
-77.00634059	38.91557274	{BA6DC1C6-6710-47DA-8F3B-8437E2006CDB}	Other Driving Issue	2015-10-20T18:56:09.000Z	9998	Drivers disobey the one way signs during rush hour.	Car Driver
-77.00518939	38.90970801	{95CD9AEB-ABAD-4326-8BAA-E20D5983FAFB}	Other Driving Issue	2015-10-20T19:09:42.000Z	5256	Drivers don't obey the posted signs indicating which direction vehicles are to travel. Drivers make right turn from the Florida Ave lane crossing the solid white lines over into the lanes intented for New York Ave traffic.	Car Driver
-77.0031868	38.91260676	{68EEB01D-5015-4AD0-BA5F-7EFDAF32914C}	Cyclist behavior	2015-10-20T19:11:22.000Z	3321	Cyclist run the stop sign	Car Driver
-77.00425259	38.90902344	{B839EDE3-50D6-40AD-B3FE-BBBD563895B3}	Red light running	2015-10-20T19:14:54.000Z	5546	Cars on Florida Ave crossing New York Ave driving towards the Wendy's run the red light on a daily basis.	Car Driver
-77.00736745	38.95552573	{2C0DE6D9-3D0C-4EA9-8BAF-4B2FD2EE0767}	Other Driving Issue	2015-10-20T19:26:42.000Z	6043	Drivers turning left need a turn signal. Several light cycles pass before one car is able to turn left causing serious traffic jams on Blair Rd.	Car Driver
-77.00639318	38.94930869	{ED5903FA-083F-4D92-AF7C-97949D06D724}	Other Driving Issue	2015-10-20T19:29:57.000Z	13052	Maryland drivers cut thur the side streets to this street using this street to avoid traffic congestion on North Capital St. causing traffic backups.	Car Driver
